% Device,CC1747005
% File name,CC1747005_20240916_160503
% Cast time (UTC),2024-09-16 16:05:03
% Cast time (local),2024-09-16 13:05:03
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,45
% Default altitude,0
% Start latitude,45.1776018
% Start longitude,-66.2431148
% Start altitude,1.3400000333786011
% Start GPS horizontal error(Meter),5.559999942779541
% Start GPS vertical error(Meter),10.210000038146973
% Start GPS number of satellites,5
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),74.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-01-26
% Temperature calibration date,2024-01-25
% Pressure calibration date,2024-01-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14948566553539952,14.36826187957039,38262.916167635725,48596.146160432516,31.296603789160553,1500.3325304955365,1023.2527286780704
0.44999999999999996,0.4484344110479464,14.193925409743173,38270.797241077831,48822.358109050409,31.445170010893381,1499.9439739707682,1023.4045949330409
0.74999999999999989,0.74736579163585148,14.202157974243164,38233.6328125,48764.704276765187,31.404373937565023,1499.9280268993375,1023.3727777226241
1.05,1.0463047925844384,14.160734881435534,38154.653288341855,48715.445973958704,31.365717761168955,1499.7526172452288,1023.352808790793
1.35,1.345244346716159,14.073853492736816,38073.984375,48720.539403769486,31.362404841878114,1499.4698021513011,1023.3693793730561
1.65,1.6441774937295661,14.032251834869385,38062.390625,48757.615607251537,31.385543310277153,1499.3657139508023,1023.3970660268867
1.9500000000000002,1.943102608210477,13.990650177001955,38050.796875,48794.7709287542,31.408717554518894,1499.2615418462369,1023.424767834573
2.25,2.2420154971021997,13.919295310974121,38044.640625,48876.32255545041,31.461265594805177,1499.0940455491195,1023.4811715304367
2.55,2.5409150910127463,13.870468139648438,38034.7890625,48925.046292025443,31.49207927936828,1498.9747547302563,1023.516201719438
2.85,2.839806361604396,13.837158203125,38025.328125,48954.828164976709,31.510570357026516,1498.8918812933214,1023.5385636137648
3.15,3.1386931862864174,13.80409049987793,37996.65234375,48959.596596999909,31.511151245781292,1498.788690345167,1023.5470403633024
3.4499999999999997,3.4375743017134215,13.770204544067383,37998.640625,49004.952478145431,31.540722221905952,1498.7167673788113,1023.5780567920918
3.75,3.7364470320609162,13.742858886718748,38002.3671875,49044.350726176548,31.56655611758725,1498.6619424317223,1023.6048628425593
4.05,4.0353148185340366,13.725481033325194,37990.65625,49051.238662867945,31.56992650078374,1498.6135492051162,1023.6123101486295
4.35,4.3341807128068739,13.708288192749023,37977.00390625,49055.390562794237,31.571349176326546,1498.5634525801866,1023.6182135158626
4.6499999999999995,4.633044437752706,13.698008537292481,37976.275390625,49067.480247760082,31.579032586734385,1498.5435123058469,1023.62755936738
4.9499999999999993,4.9319054905953505,13.687728881835938,37975.546875000007,49079.576357388221,31.586719181119232,1498.5235684068116,1023.6369070479095
5.2499999999999991,5.2307623931236993,13.666684806474384,37976.354799161643,49107.332305875432,31.604715456420692,1498.4801874832731,1023.6563796681846
5.4049314917090108,5.3851012843957857,13.65605354309082,37978.10546875,49123.1023187803,31.615055506695029,1498.4597845921783,1023.6671955251987
5.4049314917090108,5.384584774374499,13.65605354309082,37978.10546875,49123.1023187803,31.615055506695029,1498.4597845921783,1023.6671955251987
5.2499999999999991,5.2302464670899349,13.654834747314453,37973.29296875,49118.426216255131,31.611663373667653,1498.4492099028109,1023.6641259630301
4.9499999999999993,4.9313945830627386,13.647329612557936,37965.432081726205,49117.794764000777,31.610694073947606,1498.4183157956286,1023.6635395670826
4.6499999999999995,4.6325422698667778,13.650488186485907,37967.054039145172,49115.879023256814,31.60970413141337,1498.4226352018227,1023.6607966515845
4.35,4.3336911792613506,13.648069414199725,37980.963775267628,49136.948301631084,31.624706565446157,1498.4273324173535,1023.6715259019036
4.05,4.0348416853786295,13.658210691493077,37994.354355067946,49141.377310860356,31.628850105704938,1498.4607585263232,1023.6713460193871
3.75,3.7359894713811084,13.68489847778744,38001.060679364869,49116.143733949277,31.613136143163029,1498.5254644871527,1023.6525022125253
3.4499999999999997,3.4371332395002407,13.697465574719649,38004.868741775055,49105.113445210925,31.606404889891408,1498.5540804477928,1023.6434320674923
3.15,3.1382739405375211,13.721906434672752,38018.043768170341,49091.131182177349,31.598549575882796,1498.6205350436296,1023.6311024176275
2.85,2.839410984689021,13.736253481875483,38018.279959381071,49073.253789463211,31.5870558289541,1498.649388434744,1023.6179924580853
2.55,2.5405443078277559,13.758491210838743,38028.250594067962,49057.9604701349,31.578066421119814,1498.707177645515,1023.6052241525165
2.25,2.2416756245400418,13.762418746948242,38032.70703125,49058.738155038773,31.579065140857494,1498.7163391921019,1023.6038593485358
1.9500000000000002,1.9428056368059441,13.769791925896358,38031.965704589915,49048.45217802986,31.572423828969235,1498.7278763825398,1023.5958997424563
1.65,1.6439318448834073,13.806050819740056,38050.378481913816,49026.347281076793,31.559703566604284,1498.827389188343,1023.5774127315568
1.35,1.3450536269976001,13.843078905296787,38078.499859357093,49015.810451324149,31.555318769647162,1498.9391160740649,1023.5651947757159
1.05,1.0461684560136833,13.922753719766748,38123.6613698591,48973.489445709711,31.531620232728606,1499.1681151066491,1023.5294006239296
0.74999999999999989,0.74727362963818977,13.986869878944422,38157.657977744238,48936.54978743496,31.510452214742116,1499.3486087152878,1023.4986769929388
0.44999999999999996,0.44837018221704322,14.074079448802594,38221.756694461641,48909.350180011636,31.4980596830623,1499.614601676612,1023.4699706754936
0.15,0.14945832471772461,14.153530652597054,38274.863281250007,48877.920641252873,31.481940883548067,1499.8502995299164,1023.4399145468071
