% Device,CC1747005
% File name,CC1747005_20240917_145402
% Cast time (UTC),2024-09-17 14:54:02
% Cast time (local),2024-09-17 11:54:02
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,45
% Default altitude,0
% Start latitude,45.1864401
% Start longitude,-66.3231647
% Start altitude,-22.829999923706055
% Start GPS horizontal error(Meter),2.25
% Start GPS vertical error(Meter),2.119999885559082
% Start GPS number of satellites,7
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),46.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-01-26
% Temperature calibration date,2024-01-25
% Pressure calibration date,2024-01-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15057702971143891,18.092721416567329,31098.558075272784,36083.307172283516,22.659135703749975,1502.1014944944022,1015.8277831013435
0.44999999999999996,0.45170440442690724,17.619750473059927,30962.54971137911,36324.179949095,22.811495996341392,1500.8388065702532,1016.0514689715693
0.74999999999999989,0.75286332622626484,17.928131103515625,30551.083984375,35583.990263523257,22.308742681246191,1501.2166093186697,1015.600724335803
1.05,1.0540795140969592,17.981128692626953,30710,35724.980862668737,22.4076803203456,1501.4943840025644,1015.6655083957746
1.35,1.3552422817100589,17.931928634643555,31138.447265625004,36264.9061618188,22.779860073064327,1501.7701297245137,1015.9614566540239
1.65,1.6563304905145044,17.763912200927734,31295.716796875,36591.269584773938,23.000831501297519,1501.5134773287277,1016.1689654846571
1.9500000000000002,1.9573676860510485,17.610055923461914,31352.791015625,36790.365954860848,23.133938958035994,1501.1990829523118,1016.3061917053984
2.25,2.2583608849707484,17.498514175415039,31490.619140625,37049.082481620033,23.309743807713357,1501.0614628906153,1016.4664444328585
2.55,2.5593091292587338,17.421104431152344,31637.11328125,37289.355976805949,23.473928159175468,1501.0149450532488,1016.6102237247915
2.85,2.860223331109403,17.365545272827148,31714.671875,37429.79309101621,23.569531383536951,1500.9575771154505,1016.6968260321921
3.15,3.16111592664842,17.34444522857666,31785.716796875,37532.33349178941,23.640000603232451,1500.9776084221771,1016.7566145259673
3.4499999999999997,3.4619908760644096,17.323345184326172,31856.76171875,37634.976134338838,23.710558704637766,1500.9977341286012,1016.8164731330163
3.75,3.76283255318406,17.272979736328125,32064.62109375,37925.66941548555,23.910968228956751,1501.0751934214575,1016.981920237543
4.05,4.0636353011577944,17.2083797454834,32149.595703125,38084.375539865679,24.019066978612017,1501.0038483798353,1017.0800597425202
4.35,4.3644138215456527,17.14265251159668,32182.1796875,38182.432487661063,24.084879799905732,1500.8807316790424,1017.1461469331537
4.6499999999999995,4.6651732053445674,17.098480224609375,32233.87109375,38283.889254162612,24.153846997596354,1500.8276098157076,1017.2098789938824
4.9499999999999993,4.96591868702782,17.084287643432617,32265.2255859375,38334.0521993754,24.188190968654521,1500.8277542814944,1017.2405711794814
5.2499999999999991,5.2666551489085762,17.070095062255859,32296.580078125,38384.248990086795,24.222561388301258,1500.8279220396614,1017.2712836981618
5.55,5.567382909522359,17.047460556030273,32315.4375,38427.335530689321,24.251659354724207,1500.7959528990464,1017.299824460199
5.7844197533347383,5.8023662984972022,17.030630172519874,32320.179710925426,38448.36441693033,24.265616900759245,1500.7636096203064,1017.3152305691199
5.7844197533347383,5.8013097445529214,17.027027130126953,32325.955078125004,38458.531670626107,24.272568261831573,1500.7603640982154,1017.3213313217661
5.55,5.5663262485695881,17.030808098905318,32286.528498289466,38408.170052683767,24.237670401029632,1500.7284691859609,1017.2927967797527
5.2499999999999991,5.2656057152529705,17.018651105480874,32329.8614139656,38470.846354404413,24.280984564128726,1500.7351558277792,1017.3272082105806
4.9499999999999993,4.9648870693304854,17.019070998009564,32297.56216336861,38432.027881933107,24.254022962704667,1500.7007977035207,1017.305179450928
4.6499999999999995,4.6641617178352464,17.036435404069092,32280.687948210521,38396.081444486343,24.229707570122958,1500.7219355145685,1017.2814532934244
4.35,4.3634301448317041,17.043576453548226,32260.722870445668,38365.816602316023,24.208966483156225,1500.7154746439412,1017.2627012743202
4.05,4.0626918445551627,17.050738535888495,32227.507048984062,38319.787203593667,24.177241671638722,1500.6965774924822,1017.23555566697
3.75,3.761944643105295,17.055694399750649,32181.943743993561,38261.101383911962,24.136620047597578,1500.6607263819612,1017.2021000358805
3.4499999999999997,3.4611851009241503,17.068495421076385,32117.912355446268,38173.35518416846,24.076056904810343,1500.6264726707705,1017.1516929553287
3.15,3.1603863040764262,17.114506873506873,31827.62279008417,37787.006370132862,23.808916358995557,1500.4600114463638,1016.9362494060607
2.85,2.8595373940802005,17.204785316868652,31728.693575055411,37588.976388388241,23.674540224513084,1500.5813461251166,1016.8124686859818
2.55,2.5586579142654915,17.255000889689754,31651.353479746631,37452.789981445225,23.581738635145378,1500.6259352996094,1016.7292271358141
2.25,2.25775970710575,17.283977754149262,31614.354986090952,37383.373874976423,23.534599326972039,1500.65679418581,1016.6855160769527
1.9500000000000002,1.9568484292958803,17.292464523978094,31553.579735639018,37304.021048181567,23.47984734893442,1500.615817534341,1016.6405156279936
1.65,1.6559059730117942,17.338741653299508,31339.170878753961,37010.040514881082,23.277413790064212,1500.5236577631931,1016.474484422143
1.35,1.354926546684555,17.403824152029276,31275.011271290081,36877.583445257944,23.187795018988162,1500.6173745661397,1016.3903872100605
1.05,1.0539248861759889,17.43654404645492,31204.878537103119,36766.517206188386,23.111934530776264,1500.626998386469,1016.323934824401
0.74999999999999989,0.7528721356743231,17.528456688426083,30854.784219328736,36275.457213717469,22.774763740547733,1500.5222244680517,1016.0450772071179
0.44999999999999996,0.45175331844716915,17.687555558130239,30752.348236579892,36020.273162166137,22.603248499413546,1500.810629202781,1015.8776151234641
0.15,0.15058860454580619,17.81034917839035,30675.030808804171,35826.653364799233,22.473149557568192,1501.0336164722712,1015.7497027909425
