% Device,CC1747005
% File name,CC1747005_20240917_161907
% Cast time (UTC),2024-09-17 16:19:07
% Cast time (local),2024-09-17 13:19:07
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,45
% Default altitude,0
% Start latitude,45.1857687
% Start longitude,-66.2832108
% Start altitude,-7.809999942779541
% Start GPS horizontal error(Meter),5
% Start GPS vertical error(Meter),9.8500003814697266
% Start GPS number of satellites,7
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),58.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-01-26
% Temperature calibration date,2024-01-25
% Pressure calibration date,2024-01-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1495656779058821,15.158728286361328,38407.456455817381,47819.562638965945,30.796778028637736,1502.29341915542,1022.70161078512
0.44999999999999996,0.44865939820910722,14.769415290941767,38337.09040212322,48199.213040548791,31.041658915815,1501.3365858625966,1022.9739360040461
0.74999999999999989,0.74772907050070336,14.9021692276001,38330.41015625,48030.484179462954,30.930047048891286,1501.6380185587739,1022.8613503973392
1.05,1.0468124504258725,14.847496032714844,38291.4296875,48047.472865123927,30.93825963281617,1501.4770975991394,1022.8805541862713
1.35,1.3458860458464581,14.791322708129883,38292.40625,48116.528483955582,30.983640620930267,1501.3543777815926,1022.9286686983613
1.65,1.6449474899123642,14.754802703857422,38298.29296875,48168.133613997161,31.017895495481238,1501.2817494730275,1022.9640669826578
1.9500000000000002,1.9440005888186323,14.735667228698731,38305.5859375,48200.50676012574,31.039607791257389,1501.2504049786971,1022.986148362419
2.25,2.243049281939248,14.723957061767578,38302.05078125,48210.266063994291,31.045646690752207,1501.2246952193616,1022.9945980016801
2.55,2.5421023915868193,14.70721435546875,38225.3046875,48133.954128962141,30.98965061402324,1501.1104997140392,1022.9563223009815
2.85,2.8411581058050062,14.677330017089844,38218.09765625,48161.125811374761,31.00684519115644,1501.0391651349557,1022.9771676874449
3.15,3.14020778175808,14.647445678710938,38210.890625,48188.338455203047,31.024059061781468,1500.9677890137416,1022.9980216855222
3.4499999999999997,3.4392465123062181,14.586513519287109,38215.1015625,48267.829325107225,31.076439375067064,1500.837060341689,1023.0524444720728
3.75,3.7382738989916251,14.549339294433594,38203.12890625,48298.062101415351,31.095247682275588,1500.7437797637588,1023.0760280596534
4.05,4.037293354211279,14.506363868713379,38195.01171875,48340.327960425268,31.122229673613433,1500.6411556976314,1023.1071069747744
4.35,4.336303002974633,14.462662696838379,38193.63671875,48392.118155030061,31.155959780748091,1500.5439272081351,1023.1435246987148
4.6499999999999995,4.6353040448326208,14.434792518615723,38191.58203125,48423.713670131714,31.176392090779277,1500.482389358805,1023.1663979472043
4.9499999999999993,4.9343002339122375,14.4252028465271,38193.775390625,48438.273785558253,31.185989675562716,1500.4674535431234,1023.177125587529
5.2499999999999991,5.2332933445987129,14.415613174438477,38195.96875,48452.84098582864,31.195591246511309,1500.4525165413261,1023.1878558504325
5.55,5.5322837114325605,14.401011466979981,38188.96484375,48461.909252956953,31.20087286900986,1500.4162616199508,1023.1962942128952
5.85,5.8312702183643372,14.386234283447266,38195.91796875,48488.918353896159,31.218992700688677,1500.3944192403435,1023.2146637334255
6.1499999999999995,6.1302520897707762,14.37409782409668,38199.390625,48508.274139581983,31.231827309173216,1500.3749648132016,1023.2284114801302
6.4499999999999993,6.4292308972007133,14.360952377319336,38192.921875,48516.257316232543,31.236434882813128,1500.3426097341915,1023.2360249514173
6.7499999999999991,6.72820748450462,14.355009078979492,38195.47265625,48526.824856776831,31.243441268945574,1500.3364470777055,1023.2439970792884
7.0499999999999989,7.0271817991305472,14.349065780639648,38198.0234375,48537.395589572065,31.250449514532846,1500.330284469675,1023.2519705008158
7.35,7.326154185732058,14.340838432312012,38194.51171875,48543.083015967844,31.253783932447245,1500.3124026424196,1023.2575836519592
7.6499999999999995,7.6251249407045671,14.333689689636231,38192.74609375,48549.661111265072,31.257838172393921,1500.2988632793749,1023.2635283742173
7.9542001959395741,7.9282804220882168,14.330569259876119,38189.525136509808,48549.418245351495,31.257311352543208,1500.2931312483786,1023.2651273353785
7.9542001959395741,7.9276551146277532,14.330569259876119,38189.525136509808,48549.418245351495,31.257311352543208,1500.2931312483786,1023.2651273353785
7.6499999999999995,7.6244996333039552,14.333689689636231,38192.74609375,48549.661111265072,31.257838172393921,1500.2988632793749,1023.2635283742173
7.35,7.3255306491720331,14.337739635313271,38208.114768529653,48564.197031583426,31.268675689013865,1500.3197365055746,1023.2697051087392
7.0499999999999989,7.02656146145409,14.345916156205606,38208.227509050463,48554.248117341514,31.262284294929103,1500.3338811041501,1023.2617456971084
6.7499999999999991,6.7275904639495945,14.351159761217742,38209.347906005263,48549.201774304776,31.259181190517818,1500.3423346742904,1023.2569275758922
6.4499999999999993,6.4286175300844954,14.356967483823102,38205.424092552952,48537.052693727652,31.251031364020914,1500.3467212413684,1023.2481019521107
6.1499999999999995,6.1296433612040477,14.358275066125017,38208.732750085423,48539.643424275746,31.253099831744549,1500.348427947278,1023.2480846774254
5.85,5.830668598134908,14.360994578461684,38207.408957174557,48534.608139807562,31.249811529110879,1500.3484612861355,1023.2436456386633
5.55,5.5316917218101782,14.368046183513737,38202.68644137853,48519.9167153192,31.239933939120849,1500.3548656448941,1023.233230463864
5.2499999999999991,5.232712258421464,14.372613972365002,38198.922088739106,48509.507287921384,31.232935154358202,1500.356564589812,1023.2255484375023
4.9499999999999993,4.9337312320531748,14.381390322043023,38206.227864265391,48507.972359320374,31.23261437848068,1500.3797304724612,1023.2221431360154
4.6499999999999995,4.6347471880980775,14.39399753398291,38197.761683475837,48481.702892077468,31.214860305872079,1500.3949592022689,1023.2045051560474
4.35,4.3357589300843253,14.405754186848107,38196.904121185638,48466.150324226088,31.204718832882737,1500.4163111342987,1023.1929108884478
4.05,4.0367686172867625,14.4117725482906,38201.728740969491,48464.870102152265,31.204368514332526,1500.4304721352407,1023.1900523768042
3.75,3.7377753294879028,14.429669980932903,38199.132960753996,48439.579863623054,31.187710225360245,1500.4641167005148,1023.1721603862249
3.4499999999999997,3.4387791106044867,14.433085111271582,38201.309257243149,48438.144199784736,31.187050781647539,1500.4694635682226,1023.1696025504567
3.15,3.1397806682124605,14.457915426586027,38213.818851364013,48423.514570179541,31.178546437880112,1500.5350750434391,1023.1565537782777
2.85,2.8407732023803094,14.521657083217054,38220.791961003713,48354.237627898256,31.133778723788073,1500.6842972631766,1023.1074607552114
2.55,2.5417562211645155,14.546978610376502,38229.04641381836,48333.713164863191,31.121061706827707,1500.7464201264197,1023.0910471891519
2.25,2.2427350565681627,14.560822843989573,38229.17211404843,48316.957744796426,31.110191139210968,1500.7735473979724,1023.078444916767
1.9500000000000002,1.9437105362220644,14.580424133267691,38238.764341676084,48305.147278015233,31.103285426162746,1500.8238914280325,1023.0676954280518
1.65,1.6446847245125864,14.558483820658125,38216.779747928056,48304.151293041461,31.10106565532281,1500.7454212399177,1023.0692194419103
1.35,1.3456615685728142,14.559363915538617,38242.920953631394,48336.117126759294,31.124146005156305,1500.7702290950349,1023.0854792183235
1.05,1.0466355391000826,14.607973960363319,38250.211514336726,48285.998613075564,31.091923056328778,1500.8847610102498,1023.0491681765345
0.74999999999999989,0.74760164443846255,14.644408069047838,38269.484863620542,48265.9304648557,31.080319099647909,1500.9838792712712,1023.0312724421777
0.44999999999999996,0.44856386420923433,14.677463505044461,38297.428521834358,48260.933460332395,31.079255775016097,1501.0842857824871,1023.0221932467056
0.15,0.14952143781896735,14.70377694842731,38304.574955383381,48237.9485019002,31.064802506922387,1501.1472856108219,1023.0042047113493
