Time,Conductivity,Temperature,Pressure,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly
2023-09-12 15:34:57.000,-0.0015808,21.6379795,10.1599569,0.0274569,0.0272330,0.0109989,1487.2909859,-1.6890847,-2.1381253
2023-09-12 15:34:57.500,0.0000782,21.6379528,10.1604293,0.0279293,0.0277015,0.0107842,1487.2906664,0.0835740,-2.1382812
2023-09-12 15:34:58.000,-0.0007275,21.6364261,10.1599651,0.0274651,0.0272411,0.0109982,1487.2864237,-0.7773879,-2.1377788
2023-09-12 15:34:58.500,-0.0007947,21.6353372,10.1603644,0.0278644,0.0276372,0.0109978,1487.2832318,-0.8491593,-2.1375342
2023-09-12 15:34:59.000,-0.0002343,21.6340935,10.1602524,0.0277524,0.0275261,0.0109973,1487.2795768,-0.2503678,-2.1372574
2023-09-12 15:35:09.000,-0.0009979,21.6274538,10.1589215,0.0264215,0.0262060,0.0109946,1487.2600492,-1.0664991,-2.1357832
2023-09-12 15:35:09.500,-0.0000214,21.6270481,10.1596924,0.0271924,0.0269707,0.0109944,1487.2588702,-0.0228219,-2.1356893
2023-09-12 15:38:30.000,-0.0001082,21.7693930,10.1556668,0.0231668,0.0229779,0.0110523,1487.6761951,-0.1153138,-2.1675391
2023-09-12 15:38:30.500,-0.0013454,21.7695855,10.1557371,0.0232371,0.0230476,0.0110524,1487.6767597,-1.4337363,-2.1675820
2023-09-12 15:38:31.000,-0.0000536,21.7691470,10.1557311,0.0232311,0.0230417,0.0110522,1487.6754763,-0.0570815,-2.1674836
2023-09-12 15:38:31.500,-0.0008100,21.7687407,10.1553757,0.0228757,0.0226892,0.0110521,1487.6742811,-0.8631824,-2.1673941
2023-09-12 15:59:06.000,-0.0005856,22.0405503,10.1565259,0.0240259,0.0238300,0.0111620,1488.4668120,-0.6205729,-2.2287400
2023-09-12 15:59:06.500,-0.0000952,22.0408992,10.1568094,0.0243094,0.0241112,0.0111621,1488.4678301,-0.1009151,-2.2288179
2023-09-12 15:59:07.000,0.0004542,22.0413876,10.1571792,0.0246792,0.0244780,0.0107762,1488.4688085,0.4813375,-2.2292219
2023-09-12 15:59:07.500,-0.0015617,22.0417794,10.1574408,0.0249408,0.0247374,0.0111625,1488.4703974,-1.6550699,-2.2290149
2023-09-13 14:24:44.000,-0.0004719,18.8009667,10.1554831,0.0229831,0.0227957,0.0097922,1478.6292339,-0.5351975,-1.5471856
2023-09-13 14:24:44.500,-0.0003454,18.7970402,10.1553689,0.0228689,0.0226824,0.0097905,1478.6167808,-0.3917750,-1.5464272
