Station,Date,Time,Sounding,Target Depth,Replicate,CastID,SampleID,SmithRootID,Lat,Long,Volume (l),sample volume,Pres,Notes
MUSQ19,Sept16,12:28:00,6.2,Surface,1,NA,425001,449,45.19013,66.263253,3.28,1.093333333,Self,"SONDE, Castaway, RBR towing at surface"
MUSQ19,Sept16,12:28:00,6.2,Surface,2,NA,425002,449,45.19013,66.263253,3.28,1.093333333,Self,"SONDE, Castaway, RBR towing at surface"
MUSQ19,Sept16,12:28:00,6.2,Surface,3,NA,425003,449,45.19013,66.263253,3.28,1.093333333,Self,"SONDE, Castaway, RBR towing at surface"
MUSQ21,Sept16,12:52:00,6.4,Surface,1,NA,425004,450,45.18383,66.253374,3.22,1.073333333,Self,RBR track only started to record properly at 12:50
MUSQ21,Sept16,12:52:00,6.4,Surface,2,NA,425005,450,45.18383,66.253374,3.22,1.073333333,Self,
MUSQ21,Sept16,12:52:00,6.4,Surface,3,NA,425006,450,45.18383,66.253374,3.22,1.073333333,Self,
MUSQ23,Sept16,13:08:00,4.8,Surface,1,NA,425007,451,45.177612,66.243265,3.44,1.146666667,,
MUSQ23,Sept16,13:08:00,4.8,Surface,2,NA,425008,451,45.177612,66.243265,3.44,1.146666667,,
MUSQ23,Sept16,13:08:00,4.8,Surface,3,NA,425009,451,45.177612,66.243265,3.44,1.146666667,,
MUSQ25,Sept16,13:20:00,7.1,Surface,1,NA,425010,452,45.168732,66.241461,3.39,1.13,,
MUSQ25,Sept16,13:20:00,7.1,Surface,2,NA,425011,452,45.168732,66.241461,3.39,1.13,,
MUSQ25,Sept16,13:20:00,7.1,Surface,3,NA,425012,452,45.168732,66.241461,3.39,1.13,,
MUSQ27,Sept16,13:33:00,5.9,Surface,1,NA,425013,453,45.161278,66.248696,3.54,1.18,,
MUSQ27,Sept16,13:33:00,5.9,Surface,2,NA,425014,453,45.161278,66.248696,3.54,1.18,,
MUSQ27,Sept16,13:33:00,5.9,Surface,3,NA,425015,453,45.161278,66.248696,3.54,1.18,,
MUSQ29,Sept16,13:41:00,7.8,Surface,1,NA,425016,454,45.152131,66.247381,3.67,1.223333333,,
MUSQ29,Sept16,13:41:00,7.8,Surface,2,NA,425017,454,45.152131,66.247381,3.67,1.223333333,,
MUSQ29,Sept16,13:41:00,7.8,Surface,3,NA,425018,454,45.152131,66.247381,3.67,1.223333333,,
MUSQ31,Sept16,13:53:00,16.7,Surface,1,NA,425019,455,45.142614,66.244492,3.53,1.176666667,,
MUSQ31,Sept16,13:53:00,16.7,Surface,2,NA,425020,455,45.142614,66.244492,3.53,1.176666667,,
MUSQ31,Sept16,13:53:00,16.7,Surface,3,NA,425021,455,45.142614,66.244492,3.53,1.176666667,,
Zone2b-1,Sept16,14:12:00,10.8,Surface,1,NA,425022,456,45.141307,66.257929,3.46,1.153333333,,
Zone2b-1,Sept16,14:12:00,10.8,Surface,2,NA,425023,456,45.141307,66.257929,3.46,1.153333333,,
Zone2b-1,Sept16,14:12:00,10.8,Surface,3,NA,425024,456,45.141307,66.257929,3.46,1.153333333,,
Zone2b-2,Sept16,14:24:00,6,Surface,1,NA,425025,457,45.143468,66.261792,3.46,1.153333333,,same volume as 2b-1 not a typo
Zone2b-2,Sept16,14:24:00,6,Surface,2,NA,425026,457,45.143468,66.261792,3.46,1.153333333,,
Zone2b-2,Sept16,14:24:00,6,Surface,3,NA,425027,457,45.143468,66.261792,3.46,1.153333333,,
Zone2b-3,Sept16,14:34:00,8.4,Surface,1,NA,425028,458,45.141627,66.259212,3.42,1.14,,
Zone2b-3,Sept16,14:34:00,8.4,Surface,2,NA,425029,458,45.141627,66.259212,3.42,1.14,,
Zone2b-3,Sept16,14:34:00,8.4,Surface,3,NA,425030,458,45.141627,66.259212,3.42,1.14,,
Zone3-1,Sept16,14:46:00,13.6,Surface,1,NA,425031,459,45.138543,66.256033,3.55,1.183333333,,
Zone3-1,Sept16,14:46:00,13.6,Surface,2,NA,425032,459,45.138543,66.256033,3.55,1.183333333,,
Zone3-1,Sept16,14:46:00,13.6,Surface,3,NA,425033,459,45.138543,66.256033,3.55,1.183333333,,
Zone3-3,Sept16,14:58:00,14.5,Surface,1,NA,425034,460,45.142036,66.250255,3.52,1.173333333,,
Zone3-3,Sept16,14:58:00,14.5,Surface,2,NA,425035,460,45.142036,66.250255,3.52,1.173333333,,
Zone3-3,Sept16,14:58:00,14.5,Surface,3,NA,425036,460,45.142036,66.250255,3.52,1.173333333,,
Zone3-2,Sept16,15:11:00,16.8,Surface,1,NA,425037,461,45.145291,66.22339,3.42,1.14,,
Zone3-2,Sept16,15:11:00,16.8,Surface,2,NA,425038,461,45.145291,66.22339,3.42,1.14,,
Zone3-2,Sept16,15:11:00,16.8,Surface,3,NA,425039,461,45.145291,66.22339,3.42,1.14,,
Zone2a-12,Sept16,15:25:00,3.2,Surface,1,NA,425040,462,45.153586,66.235223,3.37,1.123333333,,
Zone2a-12,Sept16,15:25:00,3.2,Surface,2,NA,425041,462,45.153586,66.235223,3.37,1.123333333,,
Zone2a-12,Sept16,15:25:00,3.2,Surface,3,NA,425042,462,45.153586,66.235223,3.37,1.123333333,,
Zone2a-10,Sept16,15:36:00,3,Surface,1,NA,425043,463,45.154126,66.25406,3.49,1.163333333,,
Zone2a-10,Sept16,15:36:00,3,Surface,2,NA,425044,463,45.154126,66.25406,3.49,1.163333333,,
Zone2a-10,Sept16,15:36:00,3,Surface,3,NA,425045,463,45.154126,66.25406,3.49,1.163333333,,
Zone2a-1,Sept16,15:47:00,1.9,Surface,1,NA,425046,464,45.157967,66.257295,3.37,1.123333333,,
Zone2a-1,Sept16,15:47:00,1.9,Surface,2,NA,425047,464,45.157967,66.257295,3.37,1.123333333,,
Zone2a-1,Sept16,15:47:00,1.9,Surface,3,NA,425048,464,45.157967,66.257295,3.37,1.123333333,,
MUSQ01,Sept17,11:40:00,4.7,Surface,1,NA,425049,466,45.191883,66.32003,2.33,0.776666667,,
MUSQ01,Sept17,11:40:00,4.7,Surface,2,NA,425050,466,45.191883,66.32003,2.33,0.776666667,,
MUSQ01,Sept17,11:40:00,4.7,Surface,3,NA,425051,466,45.191883,66.32003,2.33,0.776666667,,
MUSQ03,Sept17,11:54:00,5.2,Surface,1,NA,425052,467,45.186437,66.323194,3.2,1.066666667,,Transition of the tide. Can see water shifting
MUSQ03,Sept17,11:54:00,5.2,Surface,2,NA,425053,467,45.186437,66.323194,3.2,1.066666667,,
MUSQ03,Sept17,11:54:00,5.2,Surface,3,NA,425054,467,45.186437,66.323194,3.2,1.066666667,,
MUSQ05,Sept17,12:09:00,5.7,Surface,1,NA,425055,468,45.178728,66.316173,2.78,0.926666667,,
MUSQ05,Sept17,12:09:00,5.7,Surface,2,NA,425056,468,45.178728,66.316173,2.78,0.926666667,,
MUSQ05,Sept17,12:09:00,5.7,Surface,3,NA,425057,468,45.178728,66.316173,2.78,0.926666667,,
MUSQ07,Sept17,12:26:00,5.8,Surface,1,NA,425058,469,45.171344,66.307403,3.23,1.076666667,,
MUSQ07,Sept17,12:26:00,5.8,Surface,2,NA,425059,469,45.171344,66.307403,3.23,1.076666667,,
MUSQ07,Sept17,12:26:00,5.8,Surface,3,NA,425060,469,45.171344,66.307403,3.23,1.076666667,,
MUSQ09,Sept17,12:42:00,7.7,Surface,1,NA,425061,470,45.17424,66.30081,3.22,1.073333333,,
MUSQ09,Sept17,12:42:00,7.7,Surface,2,NA,425062,470,45.17424,66.30081,3.22,1.073333333,,
MUSQ09,Sept17,12:42:00,7.7,Surface,3,NA,425063,470,45.17424,66.30081,3.22,1.073333333,,
MUSQ11,Sept17,12:56:00,8.1,Surface,1,NA,425064,471,45.17988,66.294873,2.38,0.793333333,,
MUSQ11,Sept17,12:56:00,8.1,Surface,2,NA,425065,471,45.17988,66.294873,2.38,0.793333333,,
MUSQ11,Sept17,12:56:00,8.1,Surface,3,NA,425066,471,45.17988,66.294873,2.38,0.793333333,,
MUSQ13,Sept17,13:09:00,7.1,Surface,1,NA,425067,472,45.186585,66.292287,3.27,1.09,,
MUSQ13,Sept17,13:09:00,7.1,Surface,2,NA,425068,472,45.186585,66.292287,3.27,1.09,,
MUSQ13,Sept17,13:09:00,7.1,Surface,3,NA,425069,472,45.186585,66.292287,3.27,1.09,,
MUSQ15,Sept17,13:21:00,7.2,Surface,1,NA,425070,473,45.186581,66.282167,2.4,0.8,,
MUSQ15,Sept17,13:21:00,7.2,Surface,2,NA,425071,473,45.186581,66.282167,2.4,0.8,,
MUSQ15,Sept17,13:21:00,7.2,Surface,3,NA,425072,473,45.186581,66.282167,2.4,0.8,,
MUSQ17,Sept17,13:35:00,6.3,Surface,1,NA,425073,474,45.193826,66.275886,3.73,1.243333333,,
MUSQ17,Sept17,13:35:00,6.3,Surface,2,NA,425074,474,45.193826,66.275886,3.73,1.243333333,,
MUSQ17,Sept17,13:35:00,6.3,Surface,3,NA,425075,474,45.193826,66.275886,3.73,1.243333333,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BLANK,Sept16,NA,NA,NA,NA,NA,425077,465,NA,NA,3.4,,,didn’t initially classify the SampleID so assigned one at the end
BLANK,Sept17,NA,NA,NA,NA,NA,425076,475,NA,NA,3.18,,,
