Serial Number,WE02710ED
Sample ID,00452
Start Time,2024-09-16 16:19:56 UTC
Duration,0:04:20
Total Volume (l),3.39
Distance (m),65
Peak Pressure (psi),13.6
Avg Flow (l/min),0.8
Avg Rate (mL/m),207.5
Avg Speed (m/s),0.2


Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (±m),Status
0,0.00,-0.47,0.02,3.11,0.11,45.168745,-66.241495,6.9,2.1,
2,0.00,3.24,0.00,0.00,0.12,45.168749,-66.241493,6.7,2.1,
4,0.00,3.95,0.00,0.00,0.12,45.168751,-66.241491,6.6,3.7,
6,0.00,4.73,0.00,0.00,0.13,45.168755,-66.241489,6.6,3.7,
8,0.00,4.96,0.00,0.00,0.14,45.168758,-66.241489,6.4,3.7,
10,0.00,7.46,0.00,0.00,0.13,45.168759,-66.241486,6.5,3.7,
12,0.01,8.54,0.21,23.44,0.15,45.168761,-66.241481,6.3,3.7,
14,0.04,9.23,0.70,74.26,0.16,45.168762,-66.241478,6.0,2.5,
16,0.08,9.14,1.02,105.92,0.16,45.168763,-66.241476,5.7,2.5,
18,0.12,9.61,1.11,119.51,0.15,45.168763,-66.241475,5.7,2.5,
20,0.16,8.51,1.17,130.17,0.15,45.168764,-66.241473,5.7,2.5,
22,0.19,6.00,1.11,132.10,0.14,45.168765,-66.241472,5.6,2.5,
24,0.22,6.87,1.03,124.44,0.14,45.168766,-66.241470,5.7,2.5,
26,0.26,6.72,1.01,130.69,0.13,45.168767,-66.241468,5.8,2.5,
28,0.29,7.35,1.00,135.34,0.12,45.168768,-66.241465,5.8,2.5,
30,0.32,6.98,1.00,138.26,0.12,45.168769,-66.241463,5.9,2.5,
32,0.36,6.93,1.01,162.48,0.10,45.168769,-66.241461,5.8,2.5,
34,0.39,6.88,1.00,171.64,0.10,45.168770,-66.241459,5.9,3.1,
36,0.42,7.44,0.99,183.33,0.09,45.168772,-66.241457,6.0,3.1,
38,0.46,7.44,1.00,184.77,0.09,45.168774,-66.241455,6.1,3.1,
40,0.49,7.50,1.00,195.62,0.09,45.168776,-66.241453,6.4,3.1,
42,0.53,7.36,1.00,203.25,0.08,45.168776,-66.241451,6.3,3.1,
44,0.56,8.52,0.98,222.22,0.07,45.168776,-66.241450,6.3,2.5,
46,0.59,8.49,0.99,242.83,0.07,45.168775,-66.241450,6.5,2.5,
48,0.63,8.74,0.99,261.70,0.06,45.168774,-66.241452,6.7,2.5,
50,0.66,8.40,1.00,265.39,0.06,45.168775,-66.241451,6.8,2.5,
52,0.69,8.36,1.00,261.85,0.06,45.168775,-66.241450,6.8,2.5,
54,0.72,8.65,1.00,255.23,0.07,45.168775,-66.241450,6.8,2.5,
56,0.76,8.63,1.00,263.50,0.06,45.168775,-66.241449,6.9,2.5,
58,0.79,8.59,0.99,277.08,0.06,45.168775,-66.241448,6.8,2.5,
60,0.83,8.80,1.00,269.91,0.06,45.168776,-66.241446,6.6,2.5,
62,0.86,8.83,1.00,276.40,0.06,45.168776,-66.241444,6.5,2.5,
64,0.89,9.09,1.00,280.82,0.06,45.168775,-66.241445,6.5,2.5,
