Serial Number,WE02710ED
Sample ID,00532
Start Time,2025-09-11 16:47:41 UTC
Duration,0:04:06
Total Volume (l),3.02
Distance (m),62
Peak Pressure (psi),11.0
Avg Flow (l/min),0.7
Avg Rate (mL/m),56.9
Avg Speed (m/s),0.2


Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (±m),Status
0,0.00,-0.53,0.00,0.00,0.62,45.140911,-66.258191,8.0,2.2,
2,0.00,-0.52,0.00,0.00,0.57,45.140907,-66.258197,8.1,2.2,
4,0.00,-0.10,0.00,0.00,0.52,45.140903,-66.258204,8.0,2.2,
6,0.00,-0.36,0.00,0.00,0.48,45.140899,-66.258214,7.8,2.2,
8,0.00,1.16,0.00,0.00,0.46,45.140895,-66.258221,7.8,2.2,
10,0.00,2.22,0.00,0.00,0.44,45.140889,-66.258229,7.5,2.2,
12,0.00,3.80,0.00,0.00,0.42,45.140885,-66.258235,7.5,2.2,
14,0.00,4.42,0.00,0.00,0.40,45.140881,-66.258241,7.4,2.2,
16,0.00,4.14,0.00,0.00,0.37,45.140877,-66.258245,7.4,2.2,
18,0.00,7.37,0.00,0.00,0.35,45.140873,-66.258247,7.6,2.2,
20,0.01,9.85,0.34,16.60,0.33,45.140870,-66.258250,7.7,2.2,
22,0.05,10.61,0.79,40.76,0.32,45.140867,-66.258252,7.8,2.2,
24,0.09,11.03,1.14,59.65,0.32,45.140863,-66.258255,8.0,2.2,
26,0.13,8.20,1.21,65.35,0.31,45.140860,-66.258258,8.2,2.2,
28,0.16,6.29,1.08,59.28,0.29,45.140857,-66.258261,8.4,2.2,
30,0.20,6.93,1.02,58.43,0.28,45.140853,-66.258263,8.6,2.2,
32,0.23,6.35,1.01,62.31,0.27,45.140849,-66.258265,8.8,2.2,
34,0.26,6.53,1.00,64.36,0.26,45.140845,-66.258267,9.0,2.2,
36,0.30,6.72,1.00,64.30,0.26,45.140841,-66.258268,9.1,2.2,
38,0.33,6.68,1.00,66.09,0.25,45.140837,-66.258269,9.2,2.2,
