Site,Lat,Long,Date,Time,Temp,SpCond,Sal,Pressure,Depth,pH,pHmV,Turbid+,ChlugL,ChlRFU,Baro,Battery,Note
text,dd,dd,yyyy-mm-dd,hh:mm:ss,C,uS,ppt,psia,m,pH,mV,NTU,ugL,RFU,mmHG,v,text
MUSQ20,45.18727534,-66.25850157,2022-09-12,13:03,14.37,48996,32.01,,1.019,,,8.1,1.56,0.4,,12.1,
MUSQ20,45.18727534,-66.25850157,2022-09-12,13:04,14.3,49110,32.09,,11.202,,,8.9,1.05,0.27,,12.2,
MUSQ18,45.19232706,-66.26906585,2022-09-12,13:27,14.33,49130,32.11,,6.855,,,12.2,1.5,0.38,,12.1,
MUSQ18,45.19232706,-66.26906585,2022-09-12,13:27,14.33,49118,32.1,,1.042,,,11.7,1.58,0.4,,12.1,
MUSQ16,45.19069482,-66.28050756,2022-09-12,13:36,14.43,49003,32.02,,3.183,,,6.5,1.44,0.37,,12.2,
MUSQ16,45.19069482,-66.28050756,2022-09-12,13:37,14.63,48702,31.81,,1.19,,,25,1.94,0.5,,12.1,
MUSQ14,45.18629119,-66.28911185,2022-09-12,13:47,14.61,48774,31.86,,7.709,,,18.4,2.6,0.67,,12.1,
MUSQ14,45.18629119,-66.28911185,2022-09-12,13:48,14.71,48661,31.78,,1.012,,,15.3,2.3,0.59,,12.1,
MUSQ12,45.18212868,-66.29886375,2022-09-12,13:57,14.75,48506,31.67,,6.597,,,23.5,2.54,0.65,,12.1,
MUSQ12,45.18212868,-66.29886375,2022-09-12,13:58,14.81,48474,31.65,,1.235,,,23.9,2.24,0.58,,12.1,
MUSQ10,45.17575809,-66.29538823,2022-09-12,14:07,15.01,47916,31.24,,7.239,,,34.9,2.46,0.63,,12.2,
MUSQ10,45.17575809,-66.29538823,2022-09-12,14:07,15.23,47614,31.03,,0.756,,,27.4,2.62,0.67,,12.1,
MUSQ08,45.16940239,-66.30276904,2022-09-12,14:17,15.38,46805,30.45,,5.828,,,44.6,3.12,0.8,,12.1,
MUSQ08,45.16940239,-66.30276904,2022-09-12,14:18,15.63,46377,30.14,,0.905,,,33.5,2.37,0.61,,12.1,
MUSQ06,45.17537043,-66.31196701,2022-09-12,14:35,15.78,45433,29.46,,7.468,,,24.9,1.97,0.5,,12.1,
MUSQ06,45.17537043,-66.31196701,2022-09-12,14:36,16.37,43643,28.18,,0.709,,,24.7,2.74,0.7,,12.1,
MUSQ04,45.18288061,-66.31908323,2022-09-12,14:46,16.33,43122,27.81,,5.991,,,30.6,4.38,1.12,,12.2,
MUSQ04,45.18288061,-66.31908323,2022-09-12,14:46,16.86,41459,26.63,,1.479,,,16.8,2.15,0.55,,12.1,
MUSQ02,45.18982284,-66.31967686,2022-09-12,14:57,17.01,40007,25.6,,5.338,,,34.6,4.01,1.03,,12.1,
MUSQ02,45.18982284,-66.31967686,2022-09-12,14:58,18.68,29315,18.18,,1.283,,,29.8,3.72,0.95,,12.2,
MUSQ01,45.19198,-66.31992,2022-09-12,15:05,17.26,38789,24.74,,5.643,,,26.7,3.41,0.87,,12.1,
MUSQ01,45.19198,-66.31992,2022-09-12,15:06,18.85,29066,18.01,,1.044,,,26.5,2.93,0.75,,12.1,
MUSQ03,45.18607949,-66.32305035,2022-09-12,15:24,18.14,34646,21.84,,4.301,,,15.9,3.5,0.9,,12.1,
MUSQ03,45.18607949,-66.32305035,2022-09-12,15:24,18.97,31422,19.61,,1.115,,,20,3.48,0.89,,12.1,
MUSQ07,45.1716904,-66.3080521,2022-09-12,15:39,17.21,39760,25.42,,7.141,,,75.4,4.67,1.2,,12.1,Pressed the sample button twice
MUSQ07,45.1716904,-66.3080521,2022-09-12,15:39,17.22,39700,25.38,,7.119,,,72,4.72,1.21,,12.1,
MUSQ07,45.1716904,-66.3080521,2022-09-12,15:40,17.89,36442,23.09,,1.04,,,87.5,4.38,1.12,,12.2,
MUSQ11,45.17898296,-66.29428724,2022-09-12,15:56,16.26,44433,28.75,,4.689,,,53.4,4.98,1.28,,12.2,
MUSQ11,45.17898296,-66.29428724,2022-09-12,15:57,16.31,44295,28.65,,0.775,,,114.1,4.54,1.17,,12.1,
MUSQ15,45.18655344,-66.28345586,2022-09-12,16:12,15.44,47462,30.92,,5.699,,,150.2,5.03,1.29,,12.2,
MUSQ15,45.18655344,-66.28345586,2022-09-12,16:12,15.51,47375,30.86,,1.142,,,140.9,5.35,1.37,,12.1,
MUSQ19,45.19024139,-66.26320954,2022-09-12,16:28,15.1,48404,31.6,,8.294,,,40.9,3.62,0.93,,12.1,
MUSQ19,45.19024139,-66.26320954,2022-09-12,16:28,15.14,48360,31.57,,1.171,,,41.3,3.59,0.92,,12.2,
MUSQ30,45.14826451,-66.24729642,2022-09-13,11:54,13.92,49547,32.4,,8.558,,,11.5,1.51,0.39,,12.1,
MUSQ30,45.14826451,-66.24729642,2022-09-13,11:55,13.96,49521,32.38,,1.043,,,10.6,1.39,0.35,,12.1,
MUSQ28,45.15721433,-66.24971368,2022-09-13,12:10,13.93,49549,32.4,,6.041,,,7.5,2.92,0.75,,12.1,
MUSQ28,45.15721433,-66.24971368,2022-09-13,12:11,13.96,49532,32.39,,1.017,,,7.5,2.92,0.75,,12.1,
MUSQ26,45.16528631,-66.24460607,2022-09-13,12:19,13.99,49477,32.35,,4.97,,,6.3,1.93,0.5,,12.2,
