"Date","Time","Temp","SpCond","Sal","Depth","Turbid+","Chl","Baro","Latitude","Longitude","Battery"
"M/D/Y","HH:MM:SS","C","uS","ppt","meters","NTU","RFU","mmHg","Deg","Deg","volts"
"09/16/2024","12:36:59",14.30,48116,31.37,5.945,5.6,0.80,775.3,45.1900,-66.2631,12.2
"09/16/2024","12:37:43",14.37,47950,31.25,1.052,5.7,0.60,775.2,10667050000000000000000000000000000000.0000,41797990000000000000000000000000000.0000,12.1
"09/16/2024","12:54:08",14.25,48177,31.41,6.231,5.5,0.60,773.2,45.1838,-66.2532,12.1
"09/16/2024","12:54:53",14.28,48132,31.38,1.123,5.5,0.60,773.2,45.1837,-66.2530,12.1
"09/16/2024","13:09:04",13.64,48706,31.78,3.990,5.5,1.70,773.0,42712520000000000000000000000000000000.0000,10421370000000000000000000000000000.0000,12.1
"09/16/2024","13:09:46",14.03,48502,31.64,1.005,2.9,0.40,773.2,45.1776,66.2432,12.1
"09/16/2024","13:21:44",13.27,49022,32.00,6.088,1.6,0.50,771.9,45.1688,-66.2414,12.1
"09/16/2024","13:22:46",13.81,48756,31.82,1.073,1.2,0.50,771.8,45.1688,-66.2414,12.2
"09/16/2024","13:33:17",13.43,49007,31.99,4.722,4.5,0.60,772.2,45.1613,-66.2487,12.2
"09/16/2024","13:34:55",14.09,48781,31.85,1.121,0.3,0.30,772.4,45.1612,-66.2488,12.1
"09/16/2024","13:47:47",13.59,48959,31.96,7.522,2.2,0.30,771.4,45.1515,-66.2468,12.1
"09/16/2024","13:49:10",13.76,48936,31.95,1.093,-0.1,0.40,771.3,45.1513,-66.2464,12.1
"09/16/2024","14:02:00",13.34,49075,32.03,17.994,-0.1,0.30,771.1,45.1418,-66.2438,12.2
"09/16/2024","14:03:11",13.87,48937,31.96,0.931,-0.8,0.50,771.1,45.1416,66.5500,12.2
"09/16/2024","14:15:15",13.45,48992,31.98,9.714,17.9,0.80,771.3,45.1416,-66.2579,12.2
"09/16/2024","14:15:45",13.62,48995,31.99,1.096,0.7,0.30,771.3,45.1416,-66.2577,12.1
"09/16/2024","14:23:49",13.63,48956,31.96,4.489,0.5,0.40,771.0,10661520000000000000000000000000000000.0000,0.0000,12.2
"09/16/2024","14:24:22",13.69,48950,31.96,1.035,0.3,0.30,770.7,45.1435,-66.2617,12.2
"09/16/2024","14:34:40",13.08,49126,32.06,7.545,1.8,1.00,770.6,45.1416,-66.2593,12.1
"09/16/2024","14:36:05",13.54,48974,31.97,1.016,0.1,0.30,771.0,45.1418,-66.2592,12.1
"09/16/2024","14:46:44",12.56,49411,32.25,12.059,9.5,0.50,770.4,45.1386,-66.2560,12.1
"09/16/2024","14:48:11",13.39,49047,32.02,1.060,2.0,0.40,770.1,10655980000000000000000000000000000000.0000,10711360000000000000000000000000000000.0000,12.2
"09/16/2024","15:00:11",12.98,49216,32.12,14.028,3.0,0.30,769.9,45.1419,-66.2500,12.1
"09/16/2024","15:02:28",13.51,49011,32.00,1.122,1.0,0.40,769.8,45.1419,-66.2497,12.1
"09/16/2024","15:16:57",13.60,48972,31.97,15.909,0.7,0.50,770.4,45.1451,66.5500,12.1
"09/16/2024","15:17:50",14.06,48855,31.90,1.031,0.6,0.40,770.5,45.1450,-66.2420,12.2
"09/16/2024","15:25:23",13.91,48927,31.95,2.021,0.3,0.30,770.1,45.1536,66.2352,12.2
"09/16/2024","15:25:38",14.01,48934,31.96,0.917,0.5,0.40,770.1,10700280000000000000000000000000000000.0000,42712520000000000000000000000000000000.0000,12.2
"09/16/2024","15:39:41",14.41,48653,31.76,2.003,2.4,0.50,770.4,45.1543,66.2537,12.1
"09/16/2024","15:40:07",14.58,48540,31.69,1.222,2.4,0.50,770.5,45.1543,-66.2537,12.1
"09/16/2024","15:46:23",14.65,48468,31.64,0.996,13.9,0.70,770.5,45.1579,-66.2574,12.2
"09/17/2024","11:37:04",17.35,35805,22.65,4.423,37.5,0.80,773.2,45.1919,-66.3200,12.1
"09/17/2024","11:38:16",17.82,27503,16.95,0.969,27.2,0.80,773.3,0.0000,0.0000,12.1
"09/17/2024","11:53:22",17.09,37788,24.03,3.709,24.4,1.00,773.3,45.1864,-66.3231,12.1
"09/17/2024","11:54:06",17.47,36479,23.12,1.058,24.6,0.70,773.5,45.1864,-66.3232,12.1
"09/17/2024","12:09:11",16.01,42599,27.43,6.156,31.3,1.00,771.5,45.1787,-66.3161,12.1
"09/17/2024","12:10:05",16.84,40114,25.67,1.078,27.8,0.90,771.6,45.1787,-66.3162,12.1
"09/17/2024","12:25:04",15.32,45087,29.20,5.110,26.5,0.80,770.1,45.1714,-66.3076,12.2
"09/17/2024","12:25:45",15.90,43682,28.21,1.096,23.2,0.80,770.1,45.1713,-66.3075,12.1
"09/17/2024","12:40:05",14.82,46667,30.33,6.116,19.3,0.80,769.5,45.1733,-66.3010,12.1
"09/17/2024","12:41:01",15.52,45273,29.34,1.092,18.3,0.90,769.4,45.1738,-66.3010,12.2
"09/17/2024","12:54:57",14.53,47500,30.93,5.985,37.1,0.90,769.3,45.1796,-66.2943,12.2
"09/17/2024","12:55:52",15.22,46583,30.28,1.012,30.3,0.70,769.5,45.1798,-66.2947,12.1
"09/17/2024","13:07:38",14.46,47876,31.20,6.390,36.2,0.80,770.4,45.1861,66.2960,12.2
"09/17/2024","13:08:39",14.60,47724,31.10,1.111,33.6,0.80,770.3,45.1864,-66.2957,12.1
