station,zone,lat,lon
Musq_01,Zone 1,45.19198,-66.31992
Musq_01,Zone 1,45.19198,-66.31992
Musq_01,Zone 1,45.19198,-66.31992
Musq_02,Zone 1,45.18982,-66.31968
Musq_04,Zone 1,45.18288,-66.31908
Musq_04,Zone 1,45.18288,-66.31908
Musq_04,Zone 1,45.18288,-66.31908
Musq_06,Zone 1,45.17537,-66.31197
Musq_06,Zone 1,45.17537,-66.31197
Musq_07,Zone 1,45.17169,-66.30805
Musq_07,Zone 1,45.17169,-66.30805
Musq_08,Zone 1,45.1694,-66.30277
Musq_08,Zone 1,45.1694,-66.30277
Musq_08,Zone 1,45.1694,-66.30277
Musq_11,Zone 1,45.17898,-66.29429
Musq_11,Zone 1,45.17898,-66.29429
Musq_11,Zone 1,45.17898,-66.29429
Musq_15,Zone 1,45.18655,-66.28346
Musq_15,Zone 1,45.18655,-66.28346
Musq_15,Zone 1,45.18655,-66.28346
Musq_16,Zone 1,45.19069,-66.28051
Musq_16,Zone 1,45.19069,-66.28051
Musq_19,Zone 1,45.19024,-66.26321
Musq_19,Zone 1,45.19024,-66.26321
Musq_19,Zone 1,45.19024,-66.26321
Musq_20,Zone 2A,45.18728,-66.2585
Musq_20,Zone 2A,45.18728,-66.2585
Musq_20,Zone 2A,45.18728,-66.2585
Musq_22,Zone 2A,45.18092,-66.24884
Musq_22,Zone 2A,45.18092,-66.24884
Musq_22,Zone 2A,45.18092,-66.24884
Musq_24,Zone 2A,45.17369,-66.24174
Musq_24,Zone 2A,45.17369,-66.24174
Musq_24,Zone 2A,45.17369,-66.24174
Musq_26,Zone 2A,45.16529,-66.24461
Musq_26,Zone 2A,45.16529,-66.24461
Musq_28,Zone 2A,45.15721,-66.24971
Musq_28,Zone 2A,45.15721,-66.24971
Musq_28,Zone 2A,45.15721,-66.24971
Musq_30,Zone 3,45.14826,-66.2473
Musq_30,Zone 3,45.14826,-66.2473
Musq_30,Zone 3,45.14826,-66.2473
Musq_30,Zone 3,45.14826,-66.2473
Musq_30,Zone 3,45.14826,-66.2473
Musq_30,Zone 3,45.14826,-66.2473
Musq_32,Zone 3,45.14379,-66.24604
Musq_32,Zone 3,45.14379,-66.24604
Musq_32,Zone 3,45.14379,-66.24604
Musq_32,Zone 3,45.14379,-66.24604
Musq_32,Zone 3,45.14379,-66.24604
Zone 2A_01,Zone 2A,45.15794,-66.25781
Zone 2A_01,Zone 2A,45.15794,-66.25781
Zone 2A_01,Zone 2A,45.15794,-66.25781
Zone 2A_10,Zone 2A,45.15411,-66.2541
Zone 2A_12,Zone 2A,45.15398,-66.23505
Zone 2A_12,Zone 2A,45.15398,-66.23505
Zone 2A_12,Zone 2A,45.15398,-66.23505
Zone 2A_12,Zone 2A,45.15398,-66.23505
Zone 2A_12,Zone 2A,45.15398,-66.23505
Zone 2A_12,Zone 2A,45.15398,-66.23505
Zone 2B_01,Zone 2B,45.1408,-66.258
Zone 2B_01,Zone 2B,45.1408,-66.258
Zone 2B_02,Zone 2B,45.14356,-66.26273
Zone 2B_02,Zone 2B,45.14356,-66.26273
Zone 2B_03,Zone 2B,45.1418,-66.25995
Zone 2B_03,Zone 2B,45.1418,-66.25995
Zone 2B_03,Zone 2B,45.1418,-66.25995
Zone 2B_03,Zone 2B,45.1418,-66.25995
Zone 2B_03,Zone 2B,45.1418,-66.25995
Zone 2B_03,Zone 2B,45.1418,-66.25995
Zone 3_01,Zone 3,45.13879,-66.25691
Zone 3_01,Zone 3,45.13879,-66.25691
Zone 3_01,Zone 3,45.13879,-66.25691
Zone 3_01,Zone 3,45.13879,-66.25691
Zone 3_01,Zone 3,45.13879,-66.25691
Zone 3_01,Zone 3,45.13879,-66.25691
Zone 3_02,Zone 3,45.14597,-66.24249
Zone 3_02,Zone 3,45.14597,-66.24249
Zone 3_02,Zone 3,45.14597,-66.24249
Zone 3_03,Zone 3,45.14245,-66.25058
Zone 3_03,Zone 3,45.14245,-66.25058
Zone 3_03,Zone 3,45.14245,-66.25058
