"station","location","platform","variable","value"
"Musq_10","Surface","CastAway","temperature",16.7070685169735
"Musq_10","Surface","CastAway","salinity",29.7214447938085
"Musq_10","Surface","Sonde","temperature",15.01
"Musq_10","Surface","Sonde","salinity",31.24
"Musq_10","Surface","Sonde","turbidity",34.9
"Musq_10","Surface","Sonde","chl",2.46
"Musq_10","Bottom","CastAway","temperature",15.0721354365373
"Musq_10","Bottom","CastAway","salinity",31.0898717564324
"Musq_10","Bottom","Sonde","temperature",15.23
"Musq_10","Bottom","Sonde","salinity",31.03
"Musq_10","Bottom","Sonde","turbidity",27.4
"Musq_10","Bottom","Sonde","chl",2.62
"Musq_12","Surface","CastAway","temperature",16.4015876048985
"Musq_12","Surface","CastAway","salinity",29.4287206958739
"Musq_12","Surface","Sonde","temperature",14.75
"Musq_12","Surface","Sonde","salinity",31.67
"Musq_12","Surface","Sonde","turbidity",23.5
"Musq_12","Surface","Sonde","chl",2.54
"Musq_12","Bottom","CastAway","temperature",14.8289927528807
"Musq_12","Bottom","CastAway","salinity",31.5518820314837
"Musq_12","Bottom","Sonde","temperature",14.81
"Musq_12","Bottom","Sonde","salinity",31.65
"Musq_12","Bottom","Sonde","turbidity",23.9
"Musq_12","Bottom","Sonde","chl",2.24
"Musq_14","Surface","CastAway","temperature",16.3695218807847
"Musq_14","Surface","CastAway","salinity",29.4073742060784
"Musq_14","Surface","Sonde","temperature",14.61
"Musq_14","Surface","Sonde","salinity",31.86
"Musq_14","Surface","Sonde","turbidity",18.4
"Musq_14","Surface","Sonde","chl",2.6
"Musq_14","Bottom","CastAway","temperature",14.7119723331961
"Musq_14","Bottom","CastAway","salinity",31.7612909378325
"Musq_14","Bottom","Sonde","temperature",14.71
"Musq_14","Bottom","Sonde","salinity",31.78
"Musq_14","Bottom","Sonde","turbidity",15.3
"Musq_14","Bottom","Sonde","chl",2.3
"Musq_16","Surface","CastAway","temperature",16.4133099647631
"Musq_16","Surface","CastAway","salinity",28.4587127979426
"Musq_16","Surface","Sonde","temperature",14.43
"Musq_16","Surface","Sonde","salinity",32.02
"Musq_16","Surface","Sonde","turbidity",6.5
"Musq_16","Surface","Sonde","chl",1.44
"Musq_16","Bottom","CastAway","temperature",14.5128879966529
"Musq_16","Bottom","CastAway","salinity",31.8135037417198
"Musq_16","Bottom","Sonde","temperature",14.63
"Musq_16","Bottom","Sonde","salinity",31.81
"Musq_16","Bottom","Sonde","turbidity",25
"Musq_16","Bottom","Sonde","chl",1.94
"Musq_18","Surface","CastAway","temperature",15.1977441704735
"Musq_18","Surface","CastAway","salinity",31.0378913721429
"Musq_18","Surface","Sonde","temperature",14.33
"Musq_18","Surface","Sonde","salinity",32.11
"Musq_18","Surface","Sonde","turbidity",12.2
"Musq_18","Surface","Sonde","chl",1.5
"Musq_18","Bottom","CastAway","temperature",14.4018526197645
"Musq_18","Bottom","CastAway","salinity",32.0148775956807
"Musq_18","Bottom","Sonde","temperature",14.33
"Musq_18","Bottom","Sonde","salinity",32.1
"Musq_18","Bottom","Sonde","turbidity",11.7
"Musq_18","Bottom","Sonde","chl",1.58
"Musq_2","Surface","CastAway","temperature",19.7238893875564
"Musq_2","Surface","CastAway","salinity",13.6568133940324
"Musq_2","Surface","Sonde","temperature",17.01
"Musq_2","Surface","Sonde","salinity",25.6
"Musq_2","Surface","Sonde","turbidity",34.6
"Musq_2","Surface","Sonde","chl",4.01
"Musq_2","Bottom","CastAway","temperature",17.0458061348166
"Musq_2","Bottom","CastAway","salinity",25.6432101260885
"Musq_2","Bottom","Sonde","temperature",18.68
"Musq_2","Bottom","Sonde","salinity",18.18
"Musq_2","Bottom","Sonde","turbidity",29.8
"Musq_2","Bottom","Sonde","chl",3.72
"Musq_20","Surface","CastAway","temperature",14.8957558814582
"Musq_20","Surface","CastAway","salinity",31.1616972366018
"Musq_20","Surface","Sonde","temperature",14.37
"Musq_20","Surface","Sonde","salinity",32.01
"Musq_20","Surface","Sonde","turbidity",8.1
"Musq_20","Surface","Sonde","chl",1.56
"Musq_20","Bottom","CastAway","temperature",14.352795838784
"Musq_20","Bottom","CastAway","salinity",31.8573558362803
"Musq_20","Bottom","Sonde","temperature",14.3
"Musq_20","Bottom","Sonde","salinity",32.09
"Musq_20","Bottom","Sonde","turbidity",8.9
"Musq_20","Bottom","Sonde","chl",1.05
"Musq_22","Surface","CastAway","temperature",14.8090233865292
"Musq_22","Surface","CastAway","salinity",31.6108093643389
"Musq_22","Surface","Sonde","temperature",14.33
"Musq_22","Surface","Sonde","salinity",32.2
"Musq_22","Surface","Sonde","turbidity",7.7
"Musq_22","Surface","Sonde","chl",1.42
"Musq_22","Bottom","CastAway","temperature",14.3706888848382
"Musq_22","Bottom","CastAway","salinity",32.030780056934
